id,fishName,rarity,baseValue,spritePath,description,region
3006,조류지느러미,Common,11,Assets/Sprites/Fish/tidefin,조류에 따라 유영하며 작은 먹이를 사냥하는 소형 물고기,Ocean
3007,하늘반짝이,Common,12,Assets/Sprites/Fish/azureglint,햇빛 아래 반짝이며 이동하는 작은 물고기,Ocean
3008,태양물결,Common,12,Assets/Sprites/Fish/sunripple,연안에서 은빛 반사로 먹이를 찾는 소형 물고기,Ocean
3009,파도반짝이,Common,12,Assets/Sprites/Fish/waveflicker,조류 사이에서 빠르게 움직이는 작은 물고기,Ocean
3010,푸른꼬리,Common,10,Assets/Sprites/Fish/bluetail,밝은 지느러미로 연안 주변을 유영하는 작은 물고기,Ocean
3011,은빛활공,Common,11,Assets/Sprites/Fish/silverglider,햇빛에 반사하며 빠르게 움직이는 작은 물고기,Ocean
3012,조류섬광,Common,12,Assets/Sprites/Fish/tideflash,조류를 따라 반짝이며 유영하는 소형 물고기,Ocean
3013,모래반짝이,Common,12,Assets/Sprites/Fish/sandglint,모래 연안에서 은빛 반사로 유영하는 작은 물고기,Ocean
3014,파도화살,Common,13,Assets/Sprites/Fish/wavedart,연안 조류를 타고 민첩하게 이동하는 소형 물고기,Ocean
,,,,,,
3100,조류사냥꾼,Rare,45,Assets/Sprites/Fish/tidehunter,연안 암초에서 먹이를 사냥하는 포식자,Ocean
3101,하늘턱,Rare,48,Assets/Sprites/Fish/azurejaw,연안 바위와 암초 틈에서 먹이를 잡는 희귀 포식자,Ocean
3102,푸른송곳니,Rare,50,Assets/Sprites/Fish/bluefang,민첩하지만 공격적인 포식자,Ocean
3103,은빛타격,Rare,52,Assets/Sprites/Fish/silverstrike,은빛 지느러미로 먹이를 추적하는 희귀 포식자,Ocean
3104,파도활공,Rare,50,Assets/Sprites/Fish/waveglider,조류를 활용해 먹이를 유인하는 포식자,Ocean
3105,조류검,Rare,53,Assets/Sprites/Fish/tideblade,연안 상위 포식자,Ocean
3106,모래칼날,Rare,51,Assets/Sprites/Fish/sandrazor,모래와 바위 주변 상위 포식자,Ocean
3107,태양송곳니,Rare,52,Assets/Sprites/Fish/sunfang,연안 상위 포식자,Ocean
3108,하늘추적자,Rare,54,Assets/Sprites/Fish/azurestalker,연안 암초 최상위 포식자,Ocean
,,,,,,
3200,조류화염,Epic,110,Assets/Sprites/Fish/tideblazer,연안에서 사냥하는 상위 포식자,Ocean
3201,푸른칼날,Epic,120,Assets/Sprites/Fish/bluerazor,연안 암초와 바위 사이에서 사냥하는 상위 포식자,Ocean
3202,은빛사냥꾼,Epic,125,Assets/Sprites/Fish/silverhunter,은빛 지느러미를 활용해 사냥하는 상위 포식자,Ocean
3203,조류검사냥꾼,Epic,130,Assets/Sprites/Fish/tidebladehunter,빠른 속도로 사냥하는 상위 포식자,Ocean
3204,파도타격,Epic,135,Assets/Sprites/Fish/wavestrike,조류와 암초를 활용해 사냥하는 상위 포식자,Ocean
3205,모래사냥꾼,Epic,140,Assets/Sprites/Fish/sandhunter,모래·암초 연안에서 사냥하는 상위 포식자,Ocean
,,,,,,
3300,대양왕,Legendary,500,Assets/Sprites/Fish/oceanking,대양 최상위 포식자,Ocean
3301,조류황제,Legendary,510,Assets/Sprites/Fish/tideemperor,연안 암초 최상위 포식자,Ocean
3302,푸른황제,Legendary,520,Assets/Sprites/Fish/blueemperor,대양 상위 포식자,Ocean
,,,,,,
3400,대양용,Mythic,3000,Assets/Sprites/Fish/oceandragon,"대양 신화적 수호자, 거대한 포식자",Ocean
3401,은빛히드라,Mythic,3100,Assets/Sprites/Fish/silverhydra,연안과 암초를 다루는 신화적 포식자,Ocean
3402,푸른뱀,Mythic,3200,Assets/Sprites/Fish/blueserpent,대양에서 신화적 힘을 발휘하는 포식자,Ocean
,,,,,,
3500,심해발광,Common,8,Assets/Sprites/Fish/abyssglow,심해 어둠 속에서 발광하며 유영하는 소형 물고기,DeepSea
3501,심해지느러미,Common,9,Assets/Sprites/Fish/deepfin,깊은 수심에서 서식하는 소형 물고기,DeepSea
3502,그림자비늘,Common,9,Assets/Sprites/Fish/shadowscale,심해 암흑 속에서 은밀하게 이동하는 작은 물고기,DeepSea
3503,등불섬광,Common,10,Assets/Sprites/Fish/lanternblink,빛을 발하며 먹이를 유인하는 소형 물고기,DeepSea
3504,유령꼬리,Common,10,Assets/Sprites/Fish/ghosttail,깊은 수심에서 천천히 유영하는 작은 물고기,DeepSea
3505,먹물지느러미,Common,11,Assets/Sprites/Fish/inkfin,심해 바위와 암초 주변에서 유영하는 소형 물고기,DeepSea
3506,심해반짝이,Common,11,Assets/Sprites/Fish/deepglint,발광 점으로 위치를 표시하며 이동하는 작은 물고기,DeepSea
3507,유령반짝이,Common,12,Assets/Sprites/Fish/phantomflicker,심해 어둠 속에서 반짝이며 이동하는 소형 물고기,DeepSea
3508,심해물결,Common,12,Assets/Sprites/Fish/abyssripple,저조도 환경에서 은빛 반사로 유영하는 소형 물고기,DeepSea
3509,그림자활공,Common,12,Assets/Sprites/Fish/shadowglider,암흑 속에서 유영하며 먹이를 찾는 작은 물고기,DeepSea
3510,등불꼬리,Common,10,Assets/Sprites/Fish/lanterntail,심해 발광 지느러미로 위치를 알리는 소형 물고기,DeepSea
3511,먹물활공,Common,11,Assets/Sprites/Fish/inkglider,암초와 바위 틈에서 유영하는 소형 물고기,DeepSea
3512,심해섬광,Common,12,Assets/Sprites/Fish/deepflash,심해 어둠 속에서 빠르게 유영하는 작은 물고기,DeepSea
3513,유령반짝점,Common,12,Assets/Sprites/Fish/ghostglint,발광 점으로 위치를 표시하며 이동하는 작은 물고기,DeepSea
3514,심해화살,Common,13,Assets/Sprites/Fish/abyssdart,저조도 심해에서 민첩하게 움직이는 소형 물고기,DeepSea
,,,,,,
3600,심해사냥꾼,Rare,45,Assets/Sprites/Fish/deephunter,심해 암초와 바위 틈에서 먹이를 사냥하는 포식자,DeepSea
3601,그림자턱,Rare,48,Assets/Sprites/Fish/shadowjaw,심해 포식자로 작은 먹이를 공격하는 희귀 포식자,DeepSea
3602,등불송곳니,Rare,50,Assets/Sprites/Fish/lanternfang,발광 지느러미로 먹이를 유인하며 사냥하는 포식자,DeepSea
3603,심해타격,Rare,52,Assets/Sprites/Fish/abyssstrike,저조도 환경에서 상위 포식자 역할,DeepSea
3604,먹물활공,Rare,50,Assets/Sprites/Fish/inkgliderr,심해 바위·암초 주변에서 먹이를 사냥하는 포식자,DeepSea
3605,유령검,Rare,53,Assets/Sprites/Fish/phantomblade,심해 상위 포식자,DeepSea
3606,심해칼날,Rare,51,Assets/Sprites/Fish/deeprazor,심해 상위 포식자,DeepSea
3607,유령추적자,Rare,52,Assets/Sprites/Fish/ghoststalker,심해 틈에서 먹이를 추적하는 포식자,DeepSea
3608,심해송곳니,Rare,54,Assets/Sprites/Fish/abyssfang,심해 상위 포식자,DeepSea
,,,,,,
3700,그림자화염,Epic,110,Assets/Sprites/Fish/shadowblazer,심해 상위 포식자,DeepSea
3701,심해칼날,Epic,120,Assets/Sprites/Fish/deeprazorepic,심해 상위 포식자,DeepSea
3702,등불사냥꾼,Epic,125,Assets/Sprites/Fish/lanternhunter,발광 지느러미로 사냥하는 심해 상위 포식자,DeepSea
3703,유령검,Epic,130,Assets/Sprites/Fish/phantombladeepic,심해 상위 포식자,DeepSea
3704,심해타격,Epic,135,Assets/Sprites/Fish/abyssstrikeepic,심해 상위 포식자,DeepSea
3705,먹물사냥꾼,Epic,140,Assets/Sprites/Fish/inkhunter,심해 상위 포식자,DeepSea
,,,,,,
3800,심연왕,Legendary,500,Assets/Sprites/Fish/abyssalking,"심해 최상위 포식자, 깊은 해저 협곡 지배",DeepSea
3801,유령황제,Legendary,510,Assets/Sprites/Fish/phantomemperor,심해 해저 산과 협곡에서 군림하는 상위 포식자,DeepSea
3802,발광사냥꾼,Legendary,520,Assets/Sprites/Fish/glowhunter,발광 포식자로 깊은 수심의 먹이를 사냥하는 최상위 포식자,DeepSea
,,,,,,
3900,심해용,Mythic,3000,Assets/Sprites/Fish/abyssdragon,"심해 신화적 존재, 거대한 포식자",DeepSea
3901,유령히드라,Mythic,3100,Assets/Sprites/Fish/phantomhydra,심해 암흑과 협곡을 지배하는 신화적 포식자,DeepSea
3902,발광뱀,Mythic,3200,Assets/Sprites/Fish/glowserpent,발광으로 심해 생태계를 조절하는 신화적 포식자,DeepSea
